2025-08-12 10:40:11 INFO  Hooks:33 - Extent Report initialized.
2025-08-12 10:40:12 INFO  DriverFactory:26 - Initializing WebDriver...
2025-08-12 10:40:12 INFO  DriverFactory:30 - Browser specified in config: chrome
2025-08-12 10:40:19 INFO  DriverFactory:37 - Chrome browser launched successfully.
2025-08-12 10:40:19 INFO  DriverFactory:54 - Driver setup completed with implicit wait: 10 seconds
2025-08-12 10:40:20 INFO  Hooks:46 - Scenario Started: Submit form with all valid data 
2025-08-12 10:40:20 INFO  BookingStepsExcel:32 - Browser launched and booking page opened.
2025-08-12 10:40:20 INFO  BookingStepsExcel:38 - Filling form with DataTable: {Name=Srijita, Phone=9876543210, Email=sri@test1.com, Trip=long, Cab=Micro, CarType=AC, Date=2025-07-29, Time=10:30, Passenger=4, TripType=roundtrip}
2025-08-12 10:40:21 INFO  BookingPage:78 - Entered full name: Srijita
2025-08-12 10:40:21 INFO  BookingPage:87 - Entered phone number: 9876543210
2025-08-12 10:40:21 INFO  BookingPage:96 - Entered email: sri@test1.com
2025-08-12 10:40:21 INFO  BookingPage:104 - Selected trip type: Long
2025-08-12 10:40:22 INFO  BookingPage:115 - Selected cab: Micro
2025-08-12 10:40:22 INFO  BookingPage:131 - Entered pickup date: 2025-07-29
2025-08-12 10:40:22 INFO  BookingPage:140 - Entered pickup time: 10:30
2025-08-12 10:40:22 INFO  BookingPage:147 - Selected passenger count: 4
2025-08-12 10:40:23 INFO  BookingPage:158 - Selected trip mode: Roundtrip
2025-08-12 10:40:23 INFO  BookingPage:163 - Clicking 'Book Now' button
2025-08-12 10:40:23 INFO  BookingStepsExcel:97 - Clicked on Book Now button.
2025-08-12 10:40:23 INFO  BookingPage:170 - Booking confirmation message: Your Booking has been Confirmed..
2025-08-12 10:40:23 INFO  BookingStepsExcel:103 - Validating confirmation message. Expected: 'Your Booking has been Confirmed', Actual: 'Your Booking has been Confirmed..'
2025-08-12 10:40:23 INFO  Hooks:61 - Scenario Passed: Submit form with all valid data
2025-08-12 10:40:23 INFO  DriverFactory:69 - Quitting the browser...
2025-08-12 10:40:25 INFO  DriverFactory:71 - Browser closed.
2025-08-12 10:40:25 INFO  Hooks:66 - Scenario Ended: Submit form with all valid data
2025-08-12 10:40:25 INFO  DriverFactory:26 - Initializing WebDriver...
2025-08-12 10:40:25 INFO  DriverFactory:30 - Browser specified in config: chrome
2025-08-12 10:40:26 INFO  DriverFactory:37 - Chrome browser launched successfully.
2025-08-12 10:40:27 INFO  DriverFactory:54 - Driver setup completed with implicit wait: 10 seconds
2025-08-12 10:40:27 INFO  Hooks:46 - Scenario Started: Submit form with invalid name format 
2025-08-12 10:40:27 INFO  BookingStepsExcel:32 - Browser launched and booking page opened.
2025-08-12 10:40:27 INFO  BookingStepsExcel:38 - Filling form with DataTable: {Name=123, Phone=9876543210, Email=sri@test.com, Trip=local, Cab=Mini, CarType=Non-Ac, Date=2025-08-28, Time=09:30, Passenger=2, TripType=oneway}
2025-08-12 10:40:27 INFO  BookingPage:78 - Entered full name: 123
2025-08-12 10:40:28 INFO  BookingPage:87 - Entered phone number: 9876543210
2025-08-12 10:40:28 INFO  BookingPage:96 - Entered email: sri@test.com
2025-08-12 10:40:28 INFO  BookingPage:107 - Selected trip type: Local
2025-08-12 10:40:28 INFO  BookingPage:115 - Selected cab: Mini
2025-08-12 10:40:28 INFO  BookingPage:131 - Entered pickup date: 2025-08-28
2025-08-12 10:40:28 INFO  BookingPage:140 - Entered pickup time: 09:30
2025-08-12 10:40:29 INFO  BookingPage:147 - Selected passenger count: 2
2025-08-12 10:40:29 INFO  BookingPage:155 - Selected trip mode: Oneway
2025-08-12 10:40:29 INFO  BookingPage:163 - Clicking 'Book Now' button
2025-08-12 10:40:29 INFO  BookingStepsExcel:97 - Clicked on Book Now button.
2025-08-12 10:40:29 INFO  BookingStepsExcel:116 - Validating Name field error: 'Please enter valid name'
2025-08-12 10:40:29 WARN  BookingPage:185 - Name validation failed. Expected: 'Please enter valid name', but got: ''
2025-08-12 10:40:29 ERROR Hooks:52 - Scenario Failed: Submit form with invalid name format
2025-08-12 10:40:29 INFO  Hooks:59 - Screenshot captured at: C:\Users\sriji\eclipse-workspace45\CallTaxiService\screenshots\Submit_form_with_invalid_name_format_12-08-2025_10_40_29.png
2025-08-12 10:40:29 INFO  DriverFactory:69 - Quitting the browser...
2025-08-12 10:40:31 INFO  DriverFactory:71 - Browser closed.
2025-08-12 10:40:31 INFO  Hooks:66 - Scenario Ended: Submit form with invalid name format
2025-08-12 10:40:31 INFO  DriverFactory:26 - Initializing WebDriver...
2025-08-12 10:40:31 INFO  DriverFactory:30 - Browser specified in config: chrome
2025-08-12 10:40:32 INFO  DriverFactory:37 - Chrome browser launched successfully.
2025-08-12 10:40:32 INFO  DriverFactory:54 - Driver setup completed with implicit wait: 10 seconds
2025-08-12 10:40:32 INFO  Hooks:46 - Scenario Started: Submit form with invalid name format 
2025-08-12 10:40:32 INFO  BookingStepsExcel:32 - Browser launched and booking page opened.
2025-08-12 10:40:32 INFO  BookingStepsExcel:38 - Filling form with DataTable: {Name=Sri@1ab, Phone=9876543210, Email=sri@test.com, Trip=local, Cab=Mini, CarType=Non-Ac, Date=2025-08-28, Time=09:30, Passenger=2, TripType=oneway}
2025-08-12 10:40:33 INFO  BookingPage:78 - Entered full name: Sri@1ab
2025-08-12 10:40:33 INFO  BookingPage:87 - Entered phone number: 9876543210
2025-08-12 10:40:33 INFO  BookingPage:96 - Entered email: sri@test.com
2025-08-12 10:40:33 INFO  BookingPage:107 - Selected trip type: Local
2025-08-12 10:40:33 INFO  BookingPage:115 - Selected cab: Mini
2025-08-12 10:40:34 INFO  BookingPage:131 - Entered pickup date: 2025-08-28
2025-08-12 10:40:34 INFO  BookingPage:140 - Entered pickup time: 09:30
2025-08-12 10:40:34 INFO  BookingPage:147 - Selected passenger count: 2
2025-08-12 10:40:34 INFO  BookingPage:155 - Selected trip mode: Oneway
2025-08-12 10:40:34 INFO  BookingPage:163 - Clicking 'Book Now' button
2025-08-12 10:40:34 INFO  BookingStepsExcel:97 - Clicked on Book Now button.
2025-08-12 10:40:34 INFO  BookingStepsExcel:116 - Validating Name field error: 'Please enter valid name'
2025-08-12 10:40:34 WARN  BookingPage:185 - Name validation failed. Expected: 'Please enter valid name', but got: ''
2025-08-12 10:40:34 ERROR Hooks:52 - Scenario Failed: Submit form with invalid name format
2025-08-12 10:40:35 INFO  Hooks:59 - Screenshot captured at: C:\Users\sriji\eclipse-workspace45\CallTaxiService\screenshots\Submit_form_with_invalid_name_format_12-08-2025_10_40_34.png
2025-08-12 10:40:35 INFO  DriverFactory:69 - Quitting the browser...
2025-08-12 10:40:36 INFO  DriverFactory:71 - Browser closed.
2025-08-12 10:40:36 INFO  Hooks:66 - Scenario Ended: Submit form with invalid name format
2025-08-12 10:40:36 INFO  DriverFactory:26 - Initializing WebDriver...
2025-08-12 10:40:36 INFO  DriverFactory:30 - Browser specified in config: chrome
2025-08-12 10:40:37 INFO  DriverFactory:37 - Chrome browser launched successfully.
2025-08-12 10:40:38 INFO  DriverFactory:54 - Driver setup completed with implicit wait: 10 seconds
2025-08-12 10:40:38 INFO  Hooks:46 - Scenario Started: Submit form with invalid email format 
2025-08-12 10:40:39 INFO  BookingStepsExcel:32 - Browser launched and booking page opened.
2025-08-12 10:40:39 INFO  BookingStepsExcel:38 - Filling form with DataTable: {Name=Sri, Phone=9876543210, Email=test.com, Trip=local, Cab=Mini, CarType=Non-Ac, Date=2025-08-28, Time=09:30, Passenger=2, TripType=oneway}
2025-08-12 10:40:39 INFO  BookingPage:78 - Entered full name: Sri
2025-08-12 10:40:39 INFO  BookingPage:87 - Entered phone number: 9876543210
2025-08-12 10:40:39 INFO  BookingPage:96 - Entered email: test.com
2025-08-12 10:40:39 INFO  BookingPage:107 - Selected trip type: Local
2025-08-12 10:40:40 INFO  BookingPage:115 - Selected cab: Mini
2025-08-12 10:40:40 INFO  BookingPage:131 - Entered pickup date: 2025-08-28
2025-08-12 10:40:40 INFO  BookingPage:140 - Entered pickup time: 09:30
2025-08-12 10:40:40 INFO  BookingPage:147 - Selected passenger count: 2
2025-08-12 10:40:40 INFO  BookingPage:155 - Selected trip mode: Oneway
2025-08-12 10:40:40 INFO  BookingPage:163 - Clicking 'Book Now' button
2025-08-12 10:40:40 INFO  BookingStepsExcel:97 - Clicked on Book Now button.
2025-08-12 10:40:40 INFO  BookingStepsExcel:139 - Validating Email format error: 'Please enter valid email'
2025-08-12 10:40:40 WARN  BookingPage:223 - BUG: Booking confirmed with invalid email. Message shown: 'Your Booking has been Confirmed..'
2025-08-12 10:40:40 ERROR Hooks:52 - Scenario Failed: Submit form with invalid email format
2025-08-12 10:40:41 INFO  Hooks:59 - Screenshot captured at: C:\Users\sriji\eclipse-workspace45\CallTaxiService\screenshots\Submit_form_with_invalid_email_format_12-08-2025_10_40_40.png
2025-08-12 10:40:41 INFO  DriverFactory:69 - Quitting the browser...
2025-08-12 10:40:42 INFO  DriverFactory:71 - Browser closed.
2025-08-12 10:40:42 INFO  Hooks:66 - Scenario Ended: Submit form with invalid email format
2025-08-12 10:40:42 INFO  DriverFactory:26 - Initializing WebDriver...
2025-08-12 10:40:42 INFO  DriverFactory:30 - Browser specified in config: chrome
2025-08-12 10:40:44 INFO  DriverFactory:37 - Chrome browser launched successfully.
2025-08-12 10:40:44 INFO  DriverFactory:54 - Driver setup completed with implicit wait: 10 seconds
2025-08-12 10:40:44 INFO  Hooks:46 - Scenario Started: Submit form with invalid email format 
2025-08-12 10:40:45 INFO  BookingStepsExcel:32 - Browser launched and booking page opened.
2025-08-12 10:40:45 INFO  BookingStepsExcel:38 - Filling form with DataTable: {Name=Sri, Phone=9876543210, Email=sri234, Trip=local, Cab=Mini, CarType=Non-Ac, Date=2025-08-28, Time=09:30, Passenger=2, TripType=oneway}
2025-08-12 10:40:45 INFO  BookingPage:78 - Entered full name: Sri
2025-08-12 10:40:46 INFO  BookingPage:87 - Entered phone number: 9876543210
2025-08-12 10:40:46 INFO  BookingPage:96 - Entered email: sri234
2025-08-12 10:40:46 INFO  BookingPage:107 - Selected trip type: Local
2025-08-12 10:40:46 INFO  BookingPage:115 - Selected cab: Mini
2025-08-12 10:40:47 INFO  BookingPage:131 - Entered pickup date: 2025-08-28
2025-08-12 10:40:47 INFO  BookingPage:140 - Entered pickup time: 09:30
2025-08-12 10:40:47 INFO  BookingPage:147 - Selected passenger count: 2
2025-08-12 10:40:47 INFO  BookingPage:155 - Selected trip mode: Oneway
2025-08-12 10:40:47 INFO  BookingPage:163 - Clicking 'Book Now' button
2025-08-12 10:40:47 INFO  BookingStepsExcel:97 - Clicked on Book Now button.
2025-08-12 10:40:47 INFO  BookingStepsExcel:139 - Validating Email format error: 'Please enter valid email'
2025-08-12 10:40:47 WARN  BookingPage:223 - BUG: Booking confirmed with invalid email. Message shown: 'Your Booking has been Confirmed..'
2025-08-12 10:40:47 ERROR Hooks:52 - Scenario Failed: Submit form with invalid email format
2025-08-12 10:40:48 INFO  Hooks:59 - Screenshot captured at: C:\Users\sriji\eclipse-workspace45\CallTaxiService\screenshots\Submit_form_with_invalid_email_format_12-08-2025_10_40_47.png
2025-08-12 10:40:48 INFO  DriverFactory:69 - Quitting the browser...
2025-08-12 10:40:51 INFO  DriverFactory:71 - Browser closed.
2025-08-12 10:40:51 INFO  Hooks:66 - Scenario Ended: Submit form with invalid email format
2025-08-12 10:40:51 INFO  DriverFactory:26 - Initializing WebDriver...
2025-08-12 10:40:51 INFO  DriverFactory:30 - Browser specified in config: chrome
2025-08-12 10:40:53 INFO  DriverFactory:37 - Chrome browser launched successfully.
2025-08-12 10:40:53 INFO  DriverFactory:54 - Driver setup completed with implicit wait: 10 seconds
2025-08-12 10:40:53 INFO  Hooks:46 - Scenario Started: Submit form with invalid phone number format 
2025-08-12 10:40:54 INFO  BookingStepsExcel:32 - Browser launched and booking page opened.
2025-08-12 10:40:54 INFO  BookingStepsExcel:38 - Filling form with DataTable: {Name=Sri, Phone=987654321, Email=test@test.com, Trip=local, Cab=Mini, CarType=Non-Ac, Date=2025-08-28, Time=09:30, Passenger=2, TripType=oneway}
2025-08-12 10:40:54 INFO  BookingPage:78 - Entered full name: Sri
2025-08-12 10:40:54 INFO  BookingPage:87 - Entered phone number: 987654321
2025-08-12 10:40:54 INFO  BookingPage:96 - Entered email: test@test.com
